permno,caldt,ticker,prc,ret,me,analysts
91741,2020-05-29,MSBF,12.48,-0.022325,64.7088,0.0
91741,2020-06-30,MSBF,11.3,-0.086218,58.590500000000006,0.0
91742,2020-01-31,SNOA,5.2,0.19266,9.2404,1.0
91742,2020-02-28,SNOA,5.27,0.013462,9.36479,0.0
91742,2020-03-31,SNOA,4.9,-0.070209,8.707300000000002,0.0
91742,2020-04-30,SNOA,5.08,0.036735,9.02716,0.0
91742,2020-05-29,SNOA,9.7,0.909449,17.2369,0.0
91742,2020-06-30,SNOA,7.12,-0.265979,14.005040000000001,0.0
91742,2020-07-31,SNOA,9.18,0.289326,18.075419999999998,0.0
91742,2020-08-31,SNOA,7.37,-0.197168,14.8874,0.0
91742,2020-09-30,SNOA,8.37,0.135685,17.08317,0.0
91742,2020-10-30,SNOA,7.41,-0.114695,15.123809999999999,0.0
91742,2020-11-30,SNOA,6.74,-0.090418,13.76982,0.0
91742,2020-12-31,SNOA,7.26,0.077151,15.093539999999999,0.0
91754,2020-01-31,III,2.7,0.067194,128.19060000000002,4.0
91754,2020-02-28,III,3.17,0.174074,150.50526000000002,3.0
91754,2020-03-31,III,2.57,-0.189274,120.65635999999999,4.0
91754,2020-04-30,III,2.5,-0.027237,119.0325,4.0
91754,2020-05-29,III,1.72,-0.312,81.89436,4.0
91754,2020-06-30,III,2.07,0.203488,98.68724999999999,4.0
91754,2020-07-31,III,2.05,-0.009662,97.73374999999999,3.0
91754,2020-08-31,III,2.055,0.002439,98.80440000000002,3.0
91754,2020-09-30,III,2.11,0.026764,101.18293999999999,3.0
91754,2020-10-30,III,2.05,-0.028436,98.44099999999999,3.0
91754,2020-11-30,III,3.02,0.473171,145.0204,3.0
91754,2020-12-31,III,3.28,0.086093,158.05991999999998,3.0
91814,2020-01-31,ARAY,3.89,0.379433,351.91663,5.0
91814,2020-02-28,ARAY,2.965,-0.237789,268.234655,5.0
91814,2020-03-31,ARAY,1.9,-0.359191,171.98229999999998,5.0
91814,2020-04-30,ARAY,2.235,0.176316,202.305495,5.0
91814,2020-05-29,ARAY,2.1,-0.060403,190.0857,5.0
91814,2020-06-30,ARAY,2.03,-0.033333,185.09134,5.0
91814,2020-07-31,ARAY,2.23,0.098522,203.32694,5.0
91814,2020-08-31,ARAY,2.33,0.044843,212.49833,5.0
91814,2020-09-30,ARAY,2.4,0.030043,219.0576,5.0
91814,2020-10-30,ARAY,2.91,0.2125,265.60734,4.0
91814,2020-11-30,ARAY,4.46,0.532646,407.08204,4.0
91814,2020-12-31,ARAY,4.17,-0.065022,387.76413,4.0
91815,2020-01-31,CENTA,29.96,0.020436,1267.33796,4.0
91815,2020-02-28,CENTA,25.31,-0.155207,1070.63831,4.0
91815,2020-03-31,CENTA,25.57,0.010273,1068.90271,4.0
91815,2020-04-30,CENTA,30.41,0.189284,1268.46192,4.0
91815,2020-05-29,CENTA,34.26,0.126603,1429.0531199999998,3.0
91815,2020-06-30,CENTA,33.79,-0.013719,1410.66492,3.0
91815,2020-07-31,CENTA,34.65,0.025451,1446.5682,3.0
91815,2020-08-31,CENTA,37.16,0.072439,1551.3928399999998,3.0
91815,2020-09-30,CENTA,36.14,-0.027449,1512.71198,3.0
91815,2020-10-30,CENTA,35.39,-0.020753,1481.31923,3.0
91815,2020-11-30,CENTA,36.89,0.042385,1545.46966,2.0
91815,2020-12-31,CENTA,36.33,-0.01518,1532.07243,3.0
91822,2020-01-31,NCMI,7.38,0.012346,572.45922,5.0
91822,2020-02-28,NCMI,7.69,0.042005,613.2851900000001,5.0
91822,2020-03-31,NCMI,3.26,-0.551365,254.19523999999998,4.0
91822,2020-04-30,NCMI,3.3,0.01227,257.31419999999997,5.0
91822,2020-05-29,NCMI,2.75,-0.145455,218.9715,5.0
91822,2020-06-30,NCMI,2.97,0.08,231.66000000000003,5.0
91822,2020-07-31,NCMI,2.47,-0.16835,196.63670000000002,5.0
91822,2020-08-31,NCMI,3.61,0.489878,287.39209999999997,4.0
91822,2020-09-30,NCMI,2.715,-0.247922,211.87317,4.0
91822,2020-10-30,NCMI,1.985,-0.268877,157.968285,3.0
91822,2020-11-30,NCMI,3.37,0.732997,268.18797,3.0
91822,2020-12-31,NCMI,3.72,0.103858,290.31252,3.0
91826,2020-01-31,PRTS,2.55,0.159091,92.22585,3.0
91826,2020-02-28,PRTS,2.36,-0.07451,85.35412,3.0
91826,2020-03-31,PRTS,1.75,-0.258475,63.25725,3.0
91826,2020-04-30,PRTS,3.21,0.834286,119.31249000000001,3.0
91826,2020-05-29,PRTS,6.97,1.17134,271.07724,2.0
91826,2020-06-30,PRTS,8.66,0.242468,345.41276,2.0
91826,2020-07-31,PRTS,13.745,0.587182,548.23307,0.0
91826,2020-08-31,PRTS,14.05,0.02219,664.88815,2.0
91826,2020-09-30,PRTS,10.81,-0.230605,516.41532,4.0
91826,2020-10-30,PRTS,12.69,0.173913,606.22668,4.0
91826,2020-11-30,PRTS,15.07,0.187549,722.25989,4.0
91826,2020-12-31,PRTS,12.39,-0.177837,595.84749,4.0
91832,2020-01-31,MDGL,83.02,-0.088794,1280.9155799999999,13.0
91832,2020-02-28,MDGL,86.17,0.037943,1329.51693,14.0
91832,2020-03-31,MDGL,66.76,-0.225252,1030.04004,13.0
91832,2020-04-30,MDGL,83.68,0.253445,1291.0987200000002,13.0
91832,2020-05-29,MDGL,116.02,0.386472,1790.0725799999998,12.0
91832,2020-06-30,MDGL,113.25,-0.023875,1748.3535,15.0
91832,2020-07-31,MDGL,102.61,-0.093951,1584.0931799999998,14.0
91832,2020-08-31,MDGL,107.7,0.049605,1662.6726,15.0
91832,2020-09-30,MDGL,118.73,0.102414,1836.2781800000002,15.0
91832,2020-10-30,MDGL,127.25,0.071759,1968.0485,15.0
91832,2020-11-30,MDGL,116.79,-0.0822,1806.2741400000002,15.0
91832,2020-12-31,MDGL,111.17,-0.048121,1724.0243600000001,16.0
91836,2020-01-31,AVNW,13.7,-0.024911,73.93889999999999,2.0
91836,2020-02-28,AVNW,12.0,-0.124088,64.764,2.0
91836,2020-03-31,AVNW,8.5,-0.291667,45.8745,2.0
91836,2020-04-30,AVNW,9.48,0.115294,51.12564,2.0
91836,2020-05-29,AVNW,15.24,0.607595,82.18932000000001,2.0
91836,2020-06-30,AVNW,18.25,0.197507,98.42225,2.0
